Ship Movement Update,Gear System Update,Lerper Update,ParticleSystem Update,Instructions Draw,Gear System Draw,ParticleSystem Draw,Ship Draw
6.98561e-006,2.46551e-006,1.84913e-005,7.39653e-005,0,0.000297505,0.000316407,4.56119e-005
6.57469e-006,2.46551e-006,1.93132e-005,7.27325e-005,0,0.000272439,0.000343939,4.27355e-005
6.98561e-006,2.05459e-006,1.93132e-005,7.5609e-005,0,0.000297916,0.000327913,4.19137e-005
7.39653e-006,2.46551e-006,1.84913e-005,7.39653e-005,0,0.000295861,0.000324625,4.5201e-005
6.98561e-006,2.46551e-006,1.97241e-005,8.95802e-005,0,0.000274493,0.000312709,4.27355e-005
7.39653e-006,2.46551e-006,2.0135e-005,7.60199e-005,0,0.000288465,0.000359143,4.68447e-005
6.98561e-006,2.46551e-006,1.93132e-005,7.39653e-005,0,0.000281479,0.000309011,4.31464e-005
5.67067e-005,1.23275e-006,1.72586e-005,1.89022e-005,0,0.000289286,0.000326269,4.27355e-005
2.34223e-005,2.46551e-006,1.80804e-005,8.79365e-005,0,0.000279424,0.00030449,4.19137e-005
7.39653e-006,2.46551e-006,1.93132e-005,7.31434e-005,0,0.000281068,0.000313531,4.47901e-005
6.98561e-006,2.46551e-006,1.97241e-005,7.23216e-005,0,0.000279424,0.000341062,4.31464e-005
0.000190255,8.21837e-007,5.75286e-006,1.80804e-005,0,0.00027285,0.000311887,4.19137e-005
0.000108893,8.21837e-007,8.62928e-006,2.62988e-005,0,0.000301203,0.000318051,4.5201e-005
6.98561e-006,2.05459e-006,1.84913e-005,7.27325e-005,0,0.000295861,0.000313531,4.39683e-005
0.000137247,4.10918e-007,5.75286e-006,1.84913e-005,0,0.000297505,0.000310654,5.13648e-005
9.45112e-006,2.05459e-006,1.93132e-005,7.19107e-005,0,0.000281479,0.000343117,4.39683e-005
7.39653e-006,2.05459e-006,1.93132e-005,7.14998e-005,0,0.000297916,0.000309832,4.56119e-005
2.87643e-006,8.21837e-007,9.0402e-006,2.79424e-005,0,0.000307778,0.000316818,4.56119e-005
7.39653e-006,2.46551e-006,1.89022e-005,7.23216e-005,0,0.000280657,0.000304901,4.19137e-005
6.57469e-006,2.05459e-006,1.80804e-005,7.14998e-005,0,0.000297916,0.000342706,4.5201e-005
6.98561e-006,2.05459e-006,1.89022e-005,7.27325e-005,0,0.000280246,0.000323804,0.000156149
7.39653e-006,3.28735e-006,2.62988e-005,8.38273e-005,0,0.000283123,0.000329146,4.56119e-005
2.05459e-006,4.10918e-007,4.93102e-006,1.80804e-005,0,0.000296683,0.000336953,5.13648e-005
6.57469e-006,2.46551e-006,2.05459e-005,7.5198e-005,0,0.000279835,0.000313942,4.31464e-005
6.98561e-006,2.46551e-006,2.09568e-005,2.17787e-005,0,0.000298738,0.000342706,4.68447e-005
6.98561e-006,2.46551e-006,2.09568e-005,7.64308e-005,4.10918e-007,0.000274904,0.000321749,4.27355e-005
7.39653e-006,2.46551e-006,2.0135e-005,7.47871e-005,0,0.000281068,0.000311476,4.31464e-005
2.42442e-005,2.05459e-006,1.89022e-005,7.43762e-005,0,0.00030449,0.000317229,4.5201e-005
6.98561e-006,2.05459e-006,2.09568e-005,7.47871e-005,4.10918e-007,0.000274904,0.000333255,4.31464e-005
6.98561e-006,2.46551e-006,4.93102e-005,7.27325e-005,4.10918e-007,0.000280246,0.000311065,4.60228e-005
6.98561e-006,2.05459e-006,2.0135e-005,7.39653e-005,0,0.000282712,0.00172914,6.82124e-005
3.28735e-006,8.21837e-007,1.27385e-005,0.000366128,0,0.000304901,0.00182366,4.27355e-005
7.39653e-006,2.05459e-006,1.80804e-005,0.000412562,0,0.000290519,0.00174353,4.39683e-005
6.98561e-006,2.46551e-006,2.0135e-005,0.000423246,0,0.000299559,0.00182489,4.39683e-005
7.39653e-006,2.46551e-006,1.93132e-005,0.000413795,0,0.000309011,0.00176777,4.56119e-005
2.87643e-006,8.21837e-007,9.45112e-006,0.000363252,0,0.000301203,0.00182489,4.27355e-005
7.39653e-006,2.46551e-006,1.76695e-005,0.000423657,0,0.000309421,0.00261796,4.76665e-005
6.98561e-006,2.46551e-006,2.13678e-005,0.000418726,0,0.000300792,0.00176243,4.31464e-005
7.39653e-006,2.46551e-006,2.05459e-005,0.000415027,4.10918e-007,0.000302436,0.00172914,4.35573e-005
1.64367e-006,4.10918e-007,5.75286e-006,0.000336542,0,0.000307778,0.00183927,4.56119e-005
7.80745e-006,2.46551e-006,2.5066e-005,0.000423246,0,0.000291752,0.00179489,4.84884e-005
6.98561e-006,2.46551e-006,2.0135e-005,0.00041626,0,0.000298327,0.00170737,4.27355e-005
